Feature,Mean SHAP Value
elevation,0.0011738152247447412
temperature_2m_max,0.0031541301141636393
temperature_2m_min,0.006502063426311059
temperature_2m_mean,0.01177229045546873
apparent_temperature_max,0.004826254620146692
apparent_temperature_min,0.002255226999172039
apparent_temperature_mean,0.010118837974637002
daylight_duration,0.013363386376049911
precipitation_sum,0.0007748686047543185
rain_sum,0.0007734377216437495
precipitation_hours,0.0002741909601064773
wind_speed_10m_max,0.0009074392650153951
wind_gusts_10m_max,0.0009168119271328737
shortwave_radiation_sum,0.0010130560196979761
et0_fao_evapotranspiration,0.0023168429863031545
latitude,0.0008880515705854509
longitude,0.0009818330075643741
day,0.02755959057490658
cumulative_temperature_2m_mean,0.01252329752351105
cumulative_apparent_temperature_mean,0.024387241257795983
cumulative_daylight_duration,0.1973588564325037
cumulative_sunshine_duration,0.048131136011143966
cumulative_precipitation_sum,0.021585925377630467
cumulative_rain_sum,0.030752744824987126
cumulative_precipitation_hours,0.00321340717948127
cumulative_shortwave_radiation_sum,0.0017021670617151491
cumulative_et0_fao_evapotranspiration,0.002279863806933743
